timestamp,investor_profile,action,price,technical_indicator_reliance,chart_pattern_recognition,volume_reaction,candle_analysis,profit_taking_tendency,stop_loss_tendency,volatility_reaction,time_based_trading,rsi,macd_signal,bb_position,volume_ratio,daily_return,gap,return_1d,return_7d,return_30d,return_1d_category,return_7d_category,return_30d_category
10,Conservative,HOLD,104.71692657470703,1.0,0.5,0.5647200391728577,0,1.0,0.875,1.0,0.5,59.88720502135722,1,0.708638489727154,0.7072890428540836,-0.20957835461142826,0.6382824029747756,0.04076367001841906,0.2147970737877799,0.10997557312663615,매우 상승,매우 상승,상승
11,Conservative,HOLD,108.9855728149414,0.6666666666666666,0.5,0.7345313360421966,0,1.0,0.8888888888888888,1.0,0.5,59.88720502135722,1,0.8598654615775544,0.8901078464578257,4.076367001841907,1.4988043349751474,0.06530905203284826,0.1786828619785135,0.10879045698212463,매우 상승,매우 상승,상승
12,Conservative,BUY,116.10331726074219,0.6666666666666666,1.0,0.847902429546809,0,1.0,0.9,1.0,0.7,59.88720502135722,1,0.9121148479981618,0.9023507372310756,6.530905203284831,3.13703550966433,0.01670401962321462,0.06543835829057555,0.0635489378490874,상승,상승,보합
13,Conservative,HOLD,118.04270935058594,0.6666666666666666,0.9,0.8351871697389804,0,0.95,0.9090909090909091,1.0,0.7,59.88720502135722,1,0.8361589220844176,1.021698978296203,1.670401962321466,2.0578627507711484,0.04048107515375747,0.09561304371599604,0.05056413178461817,매우 상승,매우 상승,보합
14,Conservative,HOLD,122.82120513916016,0.6666666666666666,1.0,0.688148429157766,0,0.9545454545454546,0.9090909090909091,1.0,0.7,64.21228737667462,1,0.8352689320233037,1.0025527238394187,4.048107515375743,0.5758864513276192,0.01399963387713615,0.029301569389942033,-0.01179892114885056,상승,보합,보합
15,Conservative,HOLD,124.54065704345703,1.0,0.5,0.5889351287682514,0,0.9583333333333334,0.9090909090909091,1.0,0.5,65.64761759252428,1,0.793219472376257,0.9467001299519138,1.3999633877136208,-0.7488232354955027,0.04350612630287581,0.02986040070466466,-0.025121306059198375,매우 상승,보합,하락
16,Conservative,SELL,129.9589385986328,0.6666666666666666,1.0,0.6661418792119234,0,0.9615384615384616,0.9090909090909091,1.0,0.5,69.76302176348982,1,0.8904106704613605,1.0004806703210685,4.350612630287576,-0.24081530529983147,-0.021153778641724207,-0.03376915245516931,-0.09992298921602458,매우 하락,하락,매우 하락
17,Conservative,HOLD,127.2098159790039,1.0,0.5,0.5848459425525756,0,0.9642857142857143,0.9090909090909091,1.0,0.7,65.47693276881961,1,0.6667274038032497,0.9506400379131545,-2.1153778641724186,-1.2307671135564588,0.009823227014848883,-0.0759135749861533,-0.06593195429073846,상승,매우 하락,매우 하락
18,Conservative,HOLD,128.4594268798828,1.0,0.5,0.569478985573179,0,0.9666666666666667,0.9090909090909091,1.0,0.7,66.48488959934167,1,0.6794290508413434,0.8613454865031037,0.9823227014848834,0.055013973040441574,-0.037042817807036395,-0.07105061258146579,-0.043887150500486,매우 하락,매우 하락,하락
19,Conservative,BUY,123.700927734375,0.3333333333333333,1.0,0.6272309872169528,0,0.96875,0.9090909090909091,1.0,0.7,59.37568424013781,1,0.17304406772071843,1.209546226325067,-3.7042817807036443,1.182882741575605,0.04549848128696867,-0.12720226958291148,0.009622401461280218,매우 상승,매우 하락,보합
20,Conservative,HOLD,129.32913208007812,1.0,0.5,0.6854984810370224,0,0.9705882352941176,0.875,1.0,0.5,64.24550819980223,1,0.6801915543782198,1.0256564601414968,4.549848128696876,1.71325999796497,-0.022493562194288292,-0.1790213780219578,-0.012669493095212982,매우 하락,매우 하락,보합
21,Conservative,HOLD,126.42005920410156,0.5,0.5,0.5555287982849322,0,0.9722222222222222,0.875,1.0,0.5,60.22680047064417,1,0.4221852312669729,1.044337731700109,-2.249356219428833,0.1546079573777074,0.014550157421818657,-0.15222204050300148,0.050935991449674804,상승,매우 하락,보합
22,Conservative,HOLD,128.25949096679688,1.0,0.5,0.5660325063275602,0,0.9736842105263158,0.875,1.0,0.7,61.85172186746914,1,0.6279293764895595,0.9518153798195343,1.4550157421818755,-1.1149670584348648,-0.020966523088021886,-0.19851916826064103,0.033993233569849866,매우 하락,매우 하락,보합
23,Conservative,HOLD,125.5703353881836,0.5,0.5,0.77740437361782,0,0.975,0.8636363636363636,1.0,0.7,58.11373680731037,1,0.36320696401749997,1.2568611096993312,-2.0966523088021938,-0.14030437701575066,-0.06384845026248948,-0.15237641000185007,0.07333440469828975,매우 하락,매우 하락,보합
24,Conservative,HOLD,117.55286407470703,0.3333333333333333,1.0,0.6657017507926479,0,0.975,0.875,1.0,0.7,48.66982867280832,1,0.02609323789200549,1.218162159429596,-6.384845026248954,-3.383488233924502,0.01513737540554712,-0.08070417693170037,0.14645413138684996,상승,매우 하락,상승
25,Conservative,HOLD,119.33230590820312,0.5,0.8,0.7771175654011497,0,0.9736842105263158,0.8333333333333334,1.0,0.5,50.589059186602206,1,0.25623610985423334,0.8923957444785501,1.5137375405547049,1.6498001601311323,-0.09525012396807288,-0.020608237617705735,0.15675484703017506,매우 하락,하락,상승
26,Conservative,HOLD,107.96588897705078,0.3333333333333333,1.0,0.7831563392814231,0,0.9722222222222222,0.8333333333333334,1.0,0.7,40.2393176739388,1,0.08398553040378379,1.1839103355123601,-9.525012396807286,-2.81478235998322,-0.01657408981009172,0.10324256314170319,0.21862287612343878,하락,매우 상승,매우 상승
27,Conservative,HOLD,106.17645263671875,0.3333333333333333,1.0,0.8005487192911203,0,0.9705882352941176,0.8333333333333334,1.0,0.7,38.89037832799002,1,0.1853352581582564,0.8934278000484912,-1.6574089810091674,-2.3981454777298454,0.00941533805282264,0.12145923332729744,0.2779550700019257,보합,매우 상승,매우 상승
28,Conservative,HOLD,107.17613983154297,0.5,0.5,0.8062532359048995,0,0.96875,0.7916666666666666,1.0,0.7,40.09850380903347,1,0.3010738708018349,0.7895292476370783,0.9415338052822575,-1.148666084476224,-0.04085439482976363,0.08935718078379726,0.2773222494554482,매우 하락,매우 상승,매우 상승
29,Conservative,HOLD,102.79752349853516,1.0,1.0,0.8075863922910731,0,0.9666666666666667,0.8333333333333334,1.0,0.5,36.678176757298914,0,0.23722106373386773,1.086311072975837,-4.08543948297636,0.7741808961256407,0.03539827475046715,0.12418444965765978,0.3421356006144334,매우 상승,매우 상승,매우 상승
